epoch,sampleBytes,batchesBytes,compressionRatio,originalCells,compressedCells,gasEstimate,gasPriceGwei,gasCostEth,avgBatchBytes,medianBatchBytes,stdBatchBytes,avgSamplesPerBatch,medianSamplesPerBatch,stdSamplesPerBatch,homogeneitySamples,avgNodesPerBatch,medianNodesPerBatch,stdNodesPerBatch,homogeneityNodes,res0,res2,res3,res4,res5
1,1926707,2377546,0.8103763292066694,991,1,100000,1,0.0001,2376973,2376973,0,12000,12000,0,1,1000,1000,0,1,1,,,,
2,1928644,2379542,0.8105105940554947,991,1,100000,1,0.0001,2378969,2378969,0,12000,12000,0,1,1000,1000,0,1,1,,,,
3,1939667,2390535,0.8113945204734505,991,1,100000,1,0.0001,2389958,2389958,0,12000,12000,0,1,1000,1000,0,1,1,,,,
4,9698171,11962142,0.8107386620222364,4804,26,2600000,1,0.0026,459966.96153846156,496718,202032.33186308815,2307.6923076923076,2496,1016.0326603332716,0.559719180522249,192.30769230769232,208,84.66938836110596,0.559719180522249,,1,4,21,
5,9698441,11942566,0.8120902157877964,4804,8,800000,1,0.0008,1492664,991585,1227535.8638728238,7500,4980,6172.218401839002,0.1770375464214664,625,415,514.3515334865834,0.17703754642146652,,1,7,,
6,9698391,11941822,0.8121366237078396,4804,7,700000,1,0.0007,1705809,991616,1466865.9738007034,8571.42857142857,4980,7375.659251060552,0.13950642070960217,714.2857142857143,415,614.6382709217127,0.13950642070960229,,2,5,,
7,19396840,23862072,0.8128732492299914,9217,26,2600000,1,0.0026,917656.5,982938,403410.5405114144,4615.384615384615,4944,2030.8739133858128,0.5599773187664072,384.61538461538464,412,169.23949278215105,0.5599773187664073,,1,4,21,
8,19396728,23862394,0.8128575867115428,9217,26,2600000,1,0.0026,917668.8846153846,982975,403424.52251627774,4615.384615384615,4944,2030.8739133858128,0.5599773187664072,384.61538461538464,412,169.23949278215105,0.5599773187664073,,1,4,21,
9,19396966,23845989,0.8134267779793072,9217,8,800000,1,0.0008,2980591.375,2032100,2434691.9948457,15000,10224,12256.358186671929,0.18290945422187144,1250,852,1021.3631822226607,0.18290945422187144,,1,7,,
10,96982687,118298478,0.8198134806096152,33389,156,15600000,1,0.0156,758223.4807692308,704325,411742.16374375694,3846.153846153846,3576,2091.6371889449447,0.45617433087431436,320.5128205128205,298,174.30309907874545,0.45617433087431414,,,3,13,140
11,96984443,118298502,0.8198281580945125,33389,156,15600000,1,0.0156,758223.6346153846,704275,411739.7926333542,3846.153846153846,3576,2091.6371889449447,0.45617433087431436,320.5128205128205,298,174.30309907874545,0.45617433087431414,,,3,13,140
12,96983119,118167831,0.8207235266931489,33389,34,3400000,1,0.0034,3475413.205882353,4770681,1841314.2466321483,17647.058823529413,24228,9352.320432231138,0.4700351755069022,1470.5882352941176,2019,779.3600360192614,0.4700351755069022,,,4,30,
